Tag;Differenz
01.01.2010;278449
02.01.2010;-7856455
03.01.2010;-11101601
04.01.2010;-20792843
05.01.2010;-26351829
06.01.2010;-19747486
07.01.2010;1660250
08.01.2010;-3053754
09.01.2010;-18495263
10.01.2010;-21808536
11.01.2010;3242597
12.01.2010;10785054
13.01.2010;-23407457
14.01.2010;-18229789
15.01.2010;-23150829
16.01.2010;-12953980
17.01.2010;-20614284
18.01.2010;-20138331
19.01.2010;-13755830
20.01.2010;-20710985
21.01.2010;-18518602
22.01.2010;-26112439
23.01.2010;-19838162
24.01.2010;-19756429
25.01.2010;-6577951
26.01.2010;9486755
27.01.2010;1361463
28.01.2010;-13993956
29.01.2010;-20451027
30.01.2010;-33501828
31.01.2010;-15988682
01.02.2010;-6533302
02.02.2010;-14399542
03.02.2010;-15720519
04.02.2010;-11829479
05.02.2010;-16190646
06.02.2010;-14223040
07.02.2010;-14707984
08.02.2010;-10951551
09.02.2010;-2270844
10.02.2010;-6653778
11.02.2010;-3876079
12.02.2010;-8327318
13.02.2010;-28617278
14.02.2010;-33168171
15.02.2010;-12191501
16.02.2010;-16082792
17.02.2010;-14751169
18.02.2010;-31855308
19.02.2010;-27812152
20.02.2010;-28075408
21.02.2010;-25671126
22.02.2010;-25569971
23.02.2010;-30202400
24.02.2010;-22264772
25.02.2010;-23194018
26.02.2010;-19101765
27.02.2010;-12219191
28.02.2010;-10308353
01.03.2010;-11633223
02.03.2010;-23722963
03.03.2010;-15449644
04.03.2010;-20536234
05.03.2010;-27853254
06.03.2010;-19059538
07.03.2010;-21894746
08.03.2010;-6123607
09.03.2010;-13256337
10.03.2010;493532
11.03.2010;-18836092
12.03.2010;-29200175
13.03.2010;-35140516
14.03.2010;-26833855
15.03.2010;-24110780
16.03.2010;-31050696
17.03.2010;-35821926
18.03.2010;-34549051
19.03.2010;-33818604
20.03.2010;-19266307
21.03.2010;-9780875
22.03.2010;-21970224
23.03.2010;-25833187
24.03.2010;-25096962
25.03.2010;-15021714
26.03.2010;-14619974
27.03.2010;-11688447
28.03.2010;-3030709
29.03.2010;-14978868
30.03.2010;-21080437
31.03.2010;-4596636
01.04.2010;-7964752
02.04.2010;4662984
03.04.2010;-7252556
04.04.2010;3222053
05.04.2010;263441
06.04.2010;-9480844
07.04.2010;-9278681
08.04.2010;-12078524
09.04.2010;-14701699
10.04.2010;-8726480
11.04.2010;250922
12.04.2010;-6644807
13.04.2010;-9936066
14.04.2010;-16430522
15.04.2010;-14163199
16.04.2010;-24324948
17.04.2010;-11700196
18.04.2010;-1427403
19.04.2010;-15762752
20.04.2010;-23217105
21.04.2010;-12844462
22.04.2010;-14109202
23.04.2010;-11770480
24.04.2010;5372159
25.04.2010;19287504
26.04.2010;2887909
27.04.2010;9088343
28.04.2010;18655170
29.04.2010;20197086
30.04.2010;20027389
01.05.2010;31661425
02.05.2010;51683204
03.05.2010;39454563
04.05.2010;37393222
05.05.2010;44377131
06.05.2010;38812662
07.05.2010;32813261
08.05.2010;36607277
09.05.2010;40783249
10.05.2010;32157034
11.05.2010;25228551
12.05.2010;33361067
13.05.2010;47950420
14.05.2010;41981143
15.05.2010;34998952
16.05.2010;42019100
17.05.2010;26025842
18.05.2010;23640802
19.05.2010;7453061
20.05.2010;20560790
21.05.2010;12127916
22.05.2010;24722805
23.05.2010;39397646
24.05.2010;42156849
25.05.2010;30647581
26.05.2010;27635678
27.05.2010;38035110
28.05.2010;22769738
29.05.2010;25959176
30.05.2010;30744186
31.05.2010;17687437
01.06.2010;19858018
02.06.2010;17991105
03.06.2010;16731566
04.06.2010;22813417
05.06.2010;34264897
06.06.2010;45356461
07.06.2010;41654827
08.06.2010;47681940
09.06.2010;55808636
10.06.2010;60346282
11.06.2010;51996855
12.06.2010;60481964
13.06.2010;67710945
14.06.2010;54656805
15.06.2010;48109967
16.06.2010;51784359
17.06.2010;50415394
18.06.2010;48178686
19.06.2010;51117103
20.06.2010;57881018
21.06.2010;52948840
22.06.2010;37963338
23.06.2010;40426533
24.06.2010;53682324
25.06.2010;48112703
26.06.2010;54411830
27.06.2010;61521283
28.06.2010;62853039
29.06.2010;61212958
30.06.2010;62345958
01.07.2010;66064767
02.07.2010;62582850
03.07.2010;64724745
04.07.2010;73347325
05.07.2010;63255765
06.07.2010;53820850
07.07.2010;66568478
08.07.2010;70456930
09.07.2010;70408927
10.07.2010;61415612
11.07.2010;70283368
12.07.2010;63220973
13.07.2010;66108690
14.07.2010;50006641
15.07.2010;49006974
16.07.2010;48117799
17.07.2010;56722417
18.07.2010;63345815
19.07.2010;63848114
