Woche;Differenz
28.12.2009;-18679607
04.01.2010;-108589461
11.01.2010;-84328688
18.01.2010;-138830778
25.01.2010;-79665226
01.02.2010;-93604512
08.02.2010;-93865019
15.02.2010;-156439456
22.02.2010;-142860470
01.03.2010;-140149602
08.03.2010;-128897050
15.03.2010;-188398239
22.03.2010;-117261217
29.03.2010;-47988212
05.04.2010;-53751865
12.04.2010;-84627141
19.04.2010;-53044338
26.04.2010;154200526
03.05.2010;270241365
10.05.2010;257696267
17.05.2010;153928862
24.05.2010;217948318
31.05.2010;174702901
07.06.2010;385681449
14.06.2010;362143332
21.06.2010;349066851
28.06.2010;453131642
05.07.2010;456209930
12.07.2010;396529309
19.07.2010;484990245
26.07.2010;406340593
02.08.2010;274776892
09.08.2010;249494154
16.08.2010;154653532
23.08.2010;123155157
30.08.2010;-18679864
06.09.2010;19944112
13.09.2010;22400624
20.09.2010;87307840
27.09.2010;122924448
04.10.2010;79969035
11.10.2010;30682031
18.10.2010;101899893
25.10.2010;53918897
01.11.2010;-66560498
08.11.2010;-51748291
15.11.2010;-30320965
22.11.2010;-19362387
29.11.2010;44877387
06.12.2010;12567693
13.12.2010;1885576
20.12.2010;-78584619
27.12.2010;-179776545
03.01.2011;-217072555
10.01.2011;-114023328
17.01.2011;-86579562
24.01.2011;-99644848
31.01.2011;-96484619
07.02.2011;-163542582
14.02.2011;-134393367
21.02.2011;-213687906
28.02.2011;-185559907
07.03.2011;-170111066
14.03.2011;-178651558
21.03.2011;-191052216
28.03.2011;-127448172
04.04.2011;7503696
11.04.2011;2441677
18.04.2011;38162669
25.04.2011;42901646
02.05.2011;8668306
09.05.2011;151548620
16.05.2011;138302875
23.05.2011;222086660
30.05.2011;210707328
06.06.2011;76115080
13.06.2011;116137615
20.06.2011;201849542
27.06.2011;184761750
04.07.2011;221373406
11.07.2011;340896159
18.07.2011;458274364
25.07.2011;351603662
01.08.2011;266225318
08.08.2011;93235373
15.08.2011;-5283302
22.08.2011;-1552580
29.08.2011;60374677
05.09.2011;301691788
12.09.2011;227623698
19.09.2011;146312520
26.09.2011;200596084
03.10.2011;106225122
10.10.2011;229932625
17.10.2011;77184282
24.10.2011;-56764949
31.10.2011;-24554259
07.11.2011;-34901881
14.11.2011;-49087322
21.11.2011;-102193863
28.11.2011;-62515517
05.12.2011;-141188425
12.12.2011;-56214716
19.12.2011;-113479756
26.12.2011;-80830103
02.01.2012;-155240749
09.01.2012;-117465211
16.01.2012;-50432045
23.01.2012;-35215460
30.01.2012;-4410415
06.02.2012;-100042913
13.02.2012;-146911145
20.02.2012;-191975287
27.02.2012;-171944703
05.03.2012;-137053861
12.03.2012;-117830547
19.03.2012;-81130030
26.03.2012;-64988650
02.04.2012;49444651
09.04.2012;16805798
16.04.2012;-17503692
23.04.2012;23974998
30.04.2012;315595288
07.05.2012;364583849
14.05.2012;368888377
21.05.2012;441637318
28.05.2012;393425087
04.06.2012;354164549
11.06.2012;342280343
18.06.2012;423401027
25.06.2012;554183002
02.07.2012;640924750
09.07.2012;587742223
16.07.2012;549245145
23.07.2012;584371261
30.07.2012;482882842
06.08.2012;269968322
13.08.2012;214029853
20.08.2012;297228917
27.08.2012;210238525
03.09.2012;135584511
10.09.2012;56943562
17.09.2012;4855701
24.09.2012;137535905
01.10.2012;99788721
08.10.2012;187325003
15.10.2012;35670579
22.10.2012;-132776667
29.10.2012;-69037861
05.11.2012;50091538
12.11.2012;103931455
19.11.2012;-17889076
26.11.2012;20917926
03.12.2012;-52844844
10.12.2012;-3467570
17.12.2012;-17514610
24.12.2012;13945898
31.12.2012;-60091230
07.01.2013;11456657
14.01.2013;38349823
21.01.2013;-36000970
28.01.2013;-41013317
04.02.2013;-17703926
11.02.2013;-18644828
18.02.2013;-4582893
25.02.2013;-30364106
04.03.2013;-133586152
11.03.2013;-92636656
18.03.2013;-133289918
25.03.2013;-149363968
01.04.2013;-185721534
08.04.2013;-150809501
15.04.2013;122007804
22.04.2013;222673582
29.04.2013;448850383
06.05.2013;376905682
13.05.2013;337072034
20.05.2013;168661617
27.05.2013;75854766
03.06.2013;125346203
10.06.2013;326812362
17.06.2013;487543055
