Monat von Zeitstempel;Summe endverbrauchte Energie;Summe produzierte Energie
Januar 2010;5671015575;5240921815
Februar 2010;5126103903;4639334446
März 2010;5377855842;4762493793
April 2010;4579296499;4451396781
Mai 2010;4519634989;5520481867
Juni 2010;4342091808;5782410859
Juli 2010;4276124452;6246179809
August 2010;4296515987;5144977392
September 2010;4453854249;4650624936
Oktober 2010;4908723514;5206672580
November 2010;5208319930;5059342410
Dezember 2010;5757640198;5594428843
Januar 2011;5700558075;5146291952
Februar 2011;5093471860;4445560310
März 2011;5312204453;4493208982
April 2011;4388546803;4450471160
Mai 2011;4539608608;5137666493
Juni 2011;4263799966;4903463796
Juli 2011;4252221189;5713997856
August 2011;4351870993;4668087923
September 2011;4425055739;5351788299
Oktober 2011;4766832204;5150144249
November 2011;5092412854;4869006132
Dezember 2011;5366674649;4946932149
Januar 2012;5555767273;5215479194
Februar 2012;5643085180;5082629584
März 2012;5067198524;4582414149
April 2012;4554620605;4670931477
Mai 2012;4404752010;6107184445
Juni 2012;4250856748;5986656330
Juli 2012;4180086101;6763619654
August 2012;4283213322;5594417397
September 2012;4354045944;4715807074
Oktober 2012;4850062171;4972730390
November 2012;5067856994;5242790196
Dezember 2012;5466784123;5380989257
Januar 2013;5619561672;5550232983
Februar 2013;5248887324;5205011047
März 2013;5394390413;4846457832
April 2013;4747065994;4858329294
Mai 2013;4527269260;5805092494
Juni 2013;4302829904;5552354858
Juli 2013;4246615946;6232218687
August 2013;4190998663;5706597417
September 2013;4354345560;4438423194
Oktober 2013;4764312682;5452177667
November 2013;5178194634;5731011043
Dezember 2013;5457396291;5400105773
Januar 2014;5502331531;5012227591
Februar 2014;4964855405;4780253780
März 2014;5062503837;5310092331
April 2014;4428710059;5239256045
Mai 2014;4510650777;6048307407
Juni 2014;4180913878;5683646305
Juli 2014;4238343283;6601633004
August 2014;4198096829;5660723372
September 2014;4383459916;5183875811
Oktober 2014;4708207414;5470146128
November 2014;4929820421;5700241492
Dezember 2014;5307217854;5688866320
Januar 2015;5576658091;5603001297
Februar 2015;5217881844;5196395226
März 2015;5185210368;4943514849
April 2015;4469533741;4767482392
Mai 2015;4350503199;6344348649
Juni 2015;4222643071;6172849445
Juli 2015;4267522926;6329238264
August 2015;4214886199;4646446017
September 2015;4379894658;4562435957
Oktober 2015;4796688434;4903485459
November 2015;4946552575;4824216386
Dezember 2015;5219748789;4604696658
Januar 2016;5495768764;4629605170
Februar 2016;5094264274;4619666630
März 2016;5227344488;4793374477
April 2016;4590350885;5255419156
Mai 2016;4395587196;5740204299
Juni 2016;4239905544;6248141571
Juli 2016;4112935855;6490615357
August 2016;4147269755;4804365791
September 2016;4243897374;4593112991
Oktober 2016;4756435039;3783033527
November 2016;5105527010;3766049179
Dezember 2016;5447800114;4233597594
Januar 2017;5934688026;4621244828
Februar 2017;4944796802;3291414586
März 2017;5003904811;4787083766
April 2017;4390765433;4584965089
Mai 2017;4445716796;5551854175
Juni 2017;4164514280;5774496790
Juli 2017;4092819786;6012316503
August 2017;4207575128;5781345823
September 2017;4366594000;4673360329
Oktober 2017;4631242178;4029717903
November 2017;5176596072;4529811261
Dezember 2017;5526026256;4778527076
Januar 2018;5348613479;4970791668
Februar 2018;5186093126;5078041515
März 2018;5392444859;4731988331
April 2018;4345845025;5248366701
Mai 2018;4314956830;6933001399
Juni 2018;4172488375;6483617777
Juli 2018;4145888889;6435508042
August 2018;4214052857;5978216251
September 2018;4220197168;4718232318
Oktober 2018;4650657933;4212974246
November 2018;5037726350;4944719371
Dezember 2018;5263008975;5196283166
Januar 2019;5662469227;5641804127
Februar 2019;4921606835;4524455684
März 2019;5051415672;4891587776
April 2019;4492533805;5216817371
Mai 2019;4542850214;5485479297
Juni 2019;4079289750;6048898902
Juli 2019;4139469195;7530359393
August 2019;4112183789;7162549999
September 2019;4181610290;5512416208
Oktober 2019;4607736660;5966388947
November 2019;5016395499;5802203859
Dezember 2019;5168751943;5566971391
Januar 2020;5393292431;5746181691
Februar 2020;4886771141;5148555961
März 2020;4904482052;5618717667
April 2020;3942851001;5096951309
Mai 2020;4059082511;5938570206
Juni 2020;4011061871;5964889950
Juli 2020;4060816871;6100935946
August 2020;4118248035;5943689150
September 2020;4214398333;5768762935
Oktober 2020;4769365230;5837882668
November 2020;4926149578;5370610521
Dezember 2020;5376359620;5116691530
Januar 2021;5624131998;5614969261
Februar 2021;4868914178;4983369364
März 2021;5122041281;5247508816
