Stunde von Zeitstempel;Summe endverbrauchte Energie;Summe produzierte Energie
01.01.2010 00:00;6401572;5671700
01.01.2010 01:00;6384726;5731151
01.01.2010 02:00;6177693;5725562
01.01.2010 03:00;5919456;5519617
01.01.2010 04:00;5540552;5413434
01.01.2010 05:00;5390103;5375957
01.01.2010 06:00;5148473;5302204
01.01.2010 07:00;4839692;5245923
01.01.2010 08:00;4816866;5414168
01.01.2010 09:00;4957330;5571818
01.01.2010 10:00;5190272;5782522
01.01.2010 11:00;5294251;5873135
01.01.2010 12:00;5662088;5873439
01.01.2010 13:00;5749196;5812923
01.01.2010 14:00;5658844;5734858
01.01.2010 15:00;5669693;5737025
01.01.2010 16:00;5948898;5842542
01.01.2010 17:00;6587894;6713133
01.01.2010 18:00;6809312;7071042
01.01.2010 19:00;6738568;7110195
01.01.2010 20:00;6546074;6504787
01.01.2010 21:00;6435355;6072518
01.01.2010 22:00;6495587;6065135
01.01.2010 23:00;6400629;5876785
02.01.2010 00:00;6283788;5589761
02.01.2010 01:00;6180094;5326520
02.01.2010 02:00;6018011;5364000
02.01.2010 03:00;5854020;5352717
02.01.2010 04:00;5611356;5285480
02.01.2010 05:00;5597972;5283667
02.01.2010 06:00;5509876;5418440
02.01.2010 07:00;5422748;5471299
02.01.2010 08:00;5642379;5608335
02.01.2010 09:00;5978798;5974146
02.01.2010 10:00;6226999;6095512
02.01.2010 11:00;6311543;6157221
02.01.2010 12:00;6515439;6137175
02.01.2010 13:00;6597371;6122240
02.01.2010 14:00;6511629;6097220
02.01.2010 15:00;6431714;5893111
02.01.2010 16:00;6547794;6121378
02.01.2010 17:00;7201522;7181564
02.01.2010 18:00;7579817;7798090
02.01.2010 19:00;7405506;7680562
02.01.2010 20:00;7096901;6845809
02.01.2010 21:00;6930925;6404187
02.01.2010 22:00;7037133;6285940
02.01.2010 23:00;6992604;6135110
03.01.2010 00:00;6810984;5986934
03.01.2010 01:00;6602111;5862192
03.01.2010 02:00;6393570;5578317
03.01.2010 03:00;6204318;5488487
03.01.2010 04:00;5926116;5433128
03.01.2010 05:00;5838093;5376348
03.01.2010 06:00;5662772;5387940
03.01.2010 07:00;5496888;5445112
03.01.2010 08:00;5583534;5563657
03.01.2010 09:00;5868883;5548754
03.01.2010 10:00;6114136;5945044
