Tag von Zeitstempel;Summe endverbrauchte Energie;Summe produzierte Energie
01.01.2010;140763124;141041573
02.01.2010;153485939;145629484
03.01.2010;155011874;143910273
04.01.2010;187481019;166688176
05.01.2010;193323281;166971452
06.01.2010;192092830;172345344
07.01.2010;192920238;194580488
08.01.2010;194061295;191007541
09.01.2010;177240036;158744773
10.01.2010;164534177;142725641
11.01.2010;196647186;199889783
12.01.2010;198605779;209390833
13.01.2010;196829432;173421975
14.01.2010;193806028;175576239
15.01.2010;192359176;169208347
16.01.2010;170261607;157307627
17.01.2010;154953907;134339623
18.01.2010;186446929;166308598
19.01.2010;194595140;180839310
20.01.2010;196493087;175782102
21.01.2010;194035435;175516833
22.01.2010;192348185;166235746
23.01.2010;169155565;149317403
24.01.2010;159273026;139516597
25.01.2010;191023576;184445625
26.01.2010;198120887;207607642
27.01.2010;201551565;202913028
28.01.2010;200101724;186107768
29.01.2010;195775615;175324588
30.01.2010;172329902;138828074
31.01.2010;165388011;149399329
01.02.2010;198311205;191777903
02.02.2010;197706700;183307158
03.02.2010;193644570;177924051
04.02.2010;191261291;179431812
05.02.2010;192843020;176652374
06.02.2010;166951716;152728676
07.02.2010;155944552;141236568
08.02.2010;189026686;178075135
09.02.2010;194479780;192208936
10.02.2010;197838099;191184321
11.02.2010;201841977;197965898
12.02.2010;200693454;192366136
13.02.2010;179622825;151005547
14.02.2010;166436610;133268439
15.02.2010;196330903;184139402
16.02.2010;198705510;182622718
17.02.2010;194011938;179260769
18.02.2010;189416186;157560878
19.02.2010;190596083;162783931
20.02.2010;167531145;139455737
21.02.2010;153730756;128059630
22.02.2010;180349665;154779694
23.02.2010;183856830;153654430
24.02.2010;182520427;160255655
25.02.2010;181074237;157880219
26.02.2010;179712458;160610693
27.02.2010;157884385;145665194
28.02.2010;143780895;133472542
01.03.2010;174105814;162472591
02.03.2010;180751187;157028224
03.03.2010;182589812;167140168
04.03.2010;186935438;166399204
05.03.2010;187223331;159370077
06.03.2010;170229224;151169686
07.03.2010;160449053;138554307
08.03.2010;192592986;186469379
09.03.2010;200044262;186787925
10.03.2010;198703424;199196956
11.03.2010;199004599;180168507
12.03.2010;194406517;165206342
13.03.2010;169647825;134507309
14.03.2010;154840444;128006589
15.03.2010;184204661;160093881
16.03.2010;186324915;155274219
17.03.2010;183369431;147547505
18.03.2010;177547204;142998153
19.03.2010;167645212;133826608
20.03.2010;147479255;128212948
21.03.2010;136454050;126673175
22.03.2010;167706111;145735887
23.03.2010;169596999;143763812
24.03.2010;166988411;141891449
25.03.2010;166309871;151288157
26.03.2010;171083234;156463260
27.03.2010;151756225;140067778
28.03.2010;138842362;135811653
29.03.2010;166810573;151831705
30.03.2010;170936463;149856026
31.03.2010;173276949;168680313
01.04.2010;171649949;163685197
02.04.2010;140450300;145113284
03.04.2010;139637359;132384803
04.04.2010;129825290;133047343
05.04.2010;132902448;133165889
06.04.2010;164710258;155229414
07.04.2010;163794501;154515820
08.04.2010;163410471;151331947
09.04.2010;161232438;146530739
10.04.2010;139911112;131184632
11.04.2010;129824935;130075857
12.04.2010;167695459;161050652
13.04.2010;170120627;160184561
14.04.2010;170595852;154165330
15.04.2010;170815506;156652307
16.04.2010;167364406;143039458
17.04.2010;142134411;130434215
18.04.2010;128796080;127368677
19.04.2010;158519679;142756927
20.04.2010;163163986;139946881
21.04.2010;160890370;148045908
22.04.2010;160700301;146591099
23.04.2010;159062769;147292289
24.04.2010;134940116;140312275
25.04.2010;120345303;139632807
26.04.2010;153970954;156858863
27.04.2010;155322750;164411093
28.04.2010;153396446;172051616
29.04.2010;151671588;171868674
30.04.2010;152440835;172468224
01.05.2010;131549794;163211219
02.05.2010;124867692;176550896
03.05.2010;157248858;196703421
04.05.2010;164638571;202031793
05.05.2010;166686076;211063207
06.05.2010;166339242;205151904
07.05.2010;163593044;196406305
08.05.2010;136567333;173174610
09.05.2010;123400314;164183563
10.05.2010;157645855;189802889
11.05.2010;161100923;186329474
12.05.2010;156884396;190245463
13.05.2010;129049620;177000040
14.05.2010;145026670;187007813
15.05.2010;135475411;170474363
16.05.2010;124929493;166948593
17.05.2010;157600290;183626132
18.05.2010;159051760;182692562
19.05.2010;161536547;168989608
20.05.2010;162064724;182625514
21.05.2010;156926780;169054696
22.05.2010;129255397;153978202
23.05.2010;112839418;152237064
24.05.2010;117563393;159720242
25.05.2010;152356440;183004021
26.05.2010;155514287;183149965
27.05.2010;155852426;193887536
28.05.2010;153427873;176197611
29.05.2010;129114952;155074128
30.05.2010;119474028;150218214
31.05.2010;152053382;169740819
01.06.2010;156042041;175900059
02.06.2010;156338351;174329456
03.06.2010;147122320;163853886
04.06.2010;147453798;170267215
05.06.2010;127045271;161310168
06.06.2010;117485721;162842182
07.06.2010;151289505;192944332
08.06.2010;154540157;202222097
09.06.2010;154386139;210194775
10.06.2010;154693501;215039783
11.06.2010;153972003;205968858
12.06.2010;129132650;189614614
13.06.2010;116434512;184145457
14.06.2010;149418493;204075298
15.06.2010;153648158;201758125
16.06.2010;154195529;205979888
17.06.2010;153615023;204030417
18.06.2010;153553905;201732591
19.06.2010;131786149;182903252
20.06.2010;120896775;178777793
21.06.2010;152809562;205758402
22.06.2010;154100161;192063499
