Woche von Zeitstempel;Summe endverbrauchte Energie;Summe produzierte Energie
28. Dezember 2009;449260937;430581330
4. Januar 2010;1301652876;1193063415
11. Januar 2010;1303463115;1219134427
18. Januar 2010;1292347367;1153516589
25. Januar 2010;1324291280;1244626054
1. Februar 2010;1296663054;1203058542
8. Februar 2010;1329939431;1236074412
15. Februar 2010;1290322521;1133883065
22. Februar 2010;1209178897;1066318427
1. März 2010;1242283859;1102134257
8. März 2010;1309240057;1180343007
15. März 2010;1183024728;994626489
22. März 2010;1132283213;1015021996
29. März 2010;1092586883;1044598671
5. April 2010;1055786163;1002034298
12. April 2010;1117522341;1032895200
19. April 2010;1057622524;1004578186
26. April 2010;1023220059;1177420585
3. Mai 2010;1078473438;1348714803
10. Mai 2010;1010112368;1267808635
17. Mai 2010;1039274916;1193203778
24. Mai 2010;983303399;1201251717
31. Mai 2010;1003540884;1178243785
7. Juni 2010;1014448467;1400129916
14. Juni 2010;1017114032;1379257364
21. Juni 2010;1001688512;1350755363
28. Juni 2010;1011713231;1464844873
5. Juli 2010;1001049534;1457259464
12. Juli 2010;988747535;1385276844
19. Juli 2010;941924388;1426914633
26. Juli 2010;895491111;1301831704
2. August 2010;909761529;1184538421
9. August 2010;959440462;1208934616
16. August 2010;992678157;1147331689
23. August 2010;1022392427;1145547584
30. August 2010;1011830894;993151030
6. September 2010;1015704358;1035648470
13. September 2010;1036309334;1058709958
20. September 2010;1047631514;1134939354
27. September 2010;1066518090;1189442538
4. Oktober 2010;1048915757;1128884792
11. Oktober 2010;1110435402;1141117433
18. Oktober 2010;1159425177;1261325070
25. Oktober 2010;1172602597;1226521494
1. November 2010;1128354144;1061793646
8. November 2010;1175944453;1124196162
15. November 2010;1214486635;1184165670
22. November 2010;1291017870;1271655483
29. November 2010;1361896306;1406773693
6. Dezember 2010;1306369007;1318936700
13. Dezember 2010;1392859220;1394744796
20. Dezember 2010;1229375106;1150790487
27. Dezember 2010;1174661188;994884643
3. Januar 2011;1273710916;1056638361
10. Januar 2011;1250691678;1136668350
17. Januar 2011;1320720224;1234140662
24. Januar 2011;1345986487;1246341639
31. Januar 2011;1319837480;1223352861
7. Februar 2011;1242804322;1079261740
14. Februar 2011;1255232915;1120839548
21. Februar 2011;1287157953;1073470047
28. Februar 2011;1268814243;1083254336
7. März 2011;1215453565;1045342499
14. März 2011;1184651404;1005999846
21. März 2011;1149059230;958007014
28. März 2011;1108483660;981035488
4. April 2011;1054392675;1061896371
11. April 2011;1069513389;1071955066
18. April 2011;972547077;1010709746
25. April 2011;986193560;1029095206
2. Mai 2011;1036739950;1045408256
9. Mai 2011;1034930268;1186478888
16. Mai 2011;1024867770;1163170645
23. Mai 2011;1015893625;1237980285
30. Mai 2011;960106804;1170814132
6. Juni 2011;1004050444;1080165524
13. Juni 2011;982379435;1098517050
20. Juni 2011;999902182;1201751724
27. Juni 2011;1016039508;1200801258
4. Juli 2011;1009088376;1230461782
11. Juli 2011;994158541;1335054700
18. Juli 2011;952224914;1410499278
25. Juli 2011;905774558;1257378220
1. August 2011;901806072;1168031390
8. August 2011;955096568;1048331941
15. August 2011;1001930772;996647470
22. August 2011;1036118579;1034565999
29. August 2011;1021757884;1082132561
5. September 2011;1023698007;1325389795
12. September 2011;1027750473;1255374171
19. September 2011;1030454403;1176766923
26. September 2011;1025988579;1226584663
3. Oktober 2011;1041180051;1147405173
10. Oktober 2011;1060292177;1290224802
17. Oktober 2011;1122760301;1199944583
24. Oktober 2011;1132541775;1075776826
31. Oktober 2011;1107741952;1083187693
7. November 2011;1156856591;1121954710
14. November 2011;1207402136;1158314814
21. November 2011;1233499244;1131305381
28. November 2011;1216132537;1153617020
5. Dezember 2011;1232864591;1091676166
12. Dezember 2011;1272576857;1216362141
19. Dezember 2011;1234318012;1120838256
26. Dezember 2011;1097575930;1016745827
2. Januar 2012;1190311660;1035070911
9. Januar 2012;1271513913;1154048702
16. Januar 2012;1291709480;1241277435
23. Januar 2012;1272287257;1237071797
30. Januar 2012;1389108289;1384697874
6. Februar 2012;1470582949;1370540036
13. Februar 2012;1355049195;1208138050
20. Februar 2012;1275803033;1083827746
27. Februar 2012;1184244179;1012299476
5. März 2012;1216449486;1079395625
12. März 2012;1140218049;1022387502
19. März 2012;1126145513;1045015483
26. März 2012;1072383431;1007394781
2. April 2012;1041874710;1091319361
