Minute von Zeitstempel;Summe endverbrauchte Energie;Zeitstempel;Summe produzierte Energie;Summe verbrauchte Energie
7. November 2019 10:15;2044793;07.11.2019 10:15:00;2245539;2144388
20. Oktober 2020 11:45;2047365;20.10.2020 11:45:00;2086808;2144783
10. März 2021 08:30;2046244;10.03.2021 08:30:00;2713283;2146469
22. März 2021 09:00;2045319;22.03.2021 09:00:00;2306082;2147268
9. März 2021 09:15;2046252;09.03.2021 09:15:00;2976452;2148526
7. November 2019 10:30;2049600;07.11.2019 10:30:00;2209911;2149003
22. März 2021 08:30;2049731;22.03.2021 08:30:00;2360276;2151111
9. März 2021 11:45;2051907;09.03.2021 11:45:00;2293566;2151217
10. März 2021 08:15;2047875;10.03.2021 08:15:00;2728950;2151852
22. März 2021 10:15;2045059;22.03.2021 10:15:00;2118363;2152055
7. Januar 2011 12:45;2046500;07.01.2011 12:45:00;1594226;2152577
26. November 2019 12:15;2049290;26.11.2019 12:15:00;1857822;2152737
25. November 2019 10:15;2046926;25.11.2019 10:15:00;2820067;2152965
10. November 2010 08:15;2045876;10.11.2010 08:15:00;1998438;2153297
13. November 2019 13:45;2050983;13.11.2019 13:45:00;2421749;2153344
22. März 2021 08:45;2053973;22.03.2021 08:45:00;2363674;2153359
22. Dezember 2010 14:30;2047594;22.12.2010 14:30:00;1613504;2153713
7. November 2019 10:45;2056064;07.11.2019 10:45:00;2202459;2154566
2. März 2021 09:00;2045021;02.03.2021 09:00:00;2706519;2154588
5. Februar 2021 08:00;2047059;05.02.2021 08:00:00;2349013;2154930
12. März 2010 07:15;2046434;12.03.2010 07:15:00;1890963;2155167
22. März 2021 10:30;2049028;22.03.2021 10:30:00;2091053;2155255
19. November 2020 10:45;2047527;19.11.2020 10:45:00;1887651;2155490
3. Dezember 2019 07:00;2047113;03.12.2019 07:00:00;2391161;2155601
8. Dezember 2010 16:15;2048716;08.12.2010 16:15:00;2217110;2155711
1. März 2021 08:00;2045834;01.03.2021 08:00:00;3055850;2155826
3. März 2021 08:15;2046110;03.03.2021 08:15:00;2950780;2155930
11. Februar 2021 21:15;2047412;11.02.2021 21:15:00;2195670;2156000
5. März 2020 19:45;2046796;05.03.2020 19:45:00;2533188;2156111
26. November 2019 11:15;2053556;26.11.2019 11:15:00;1972846;2156201
22. März 2021 19:00;2050160;22.03.2021 19:00:00;2348320;2156208
8. Januar 2021 16:45;2045801;08.01.2021 16:45:00;2958930;2156274
18. März 2021 18:45;2046743;18.03.2021 18:45:00;2804675;2156366
20. November 2020 19:00;2047714;20.11.2020 19:00:00;2812735;2156477
8. März 2021 09:00;2052450;08.03.2021 09:00:00;2860595;2157281
26. November 2019 09:30;2045656;26.11.2019 09:30:00;2348362;2157352
9. März 2021 12:00;2056716;09.03.2021 12:00:00;2276924;2157356
24. Januar 2020 15:45;2045946;24.01.2020 15:45:00;2840827;2157474
10. November 2010 09:30;2047852;10.11.2010 09:30:00;2076886;2157515
25. November 2019 11:15;2050251;25.11.2019 11:15:00;2759346;2157764
8. November 2019 14:00;2045337;08.11.2019 14:00:00;2790715;2157769
1. März 2021 09:00;2045864;01.03.2021 09:00:00;3010110;2157903
5. März 2021 11:15;2045080;05.03.2021 11:15:00;1953831;2158018
29. Oktober 2020 11:45;2052094;29.10.2020 11:45:00;2093717;2158020
22. Dezember 2010 13:00;2048662;22.12.2010 13:00:00;1697094;2158038
13. November 2019 13:30;2054935;13.11.2019 13:30:00;2425640;2158235
22. Dezember 2010 16:15;2046318;22.12.2010 16:15:00;1709077;2158236
25. November 2019 17:15;2045787;25.11.2019 17:15:00;3189535;2158366
24. September 2010 11:45;2048066;24.09.2010 11:45:00;2598302;2158427
1. März 2021 08:15;2049186;01.03.2021 08:15:00;3022853;2158441
7. Januar 2011 13:15;2051257;07.01.2011 13:15:00;1573911;2158523
18. Januar 2021 20:30;2046382;18.01.2021 20:30:00;2427751;2158551
3. März 2021 12:15;2047404;03.03.2021 12:15:00;2560269;2158580
19. November 2020 12:30;2050700;19.11.2020 12:30:00;1797612;2158599
15. Oktober 2020 11:00;2045092;15.10.2020 11:00:00;2962464;2158615
11. November 2010 09:30;2045795;11.11.2010 09:30:00;1886617;2158876
8. Dezember 2010 13:00;2045810;08.12.2010 13:00:00;2238564;2158950
10. Dezember 2019 14:00;2048411;10.12.2019 14:00:00;2283711;2159086
11. November 2010 09:15;2048575;11.11.2010 09:15:00;1874554;2159100
2. November 2010 08:45;2049483;02.11.2010 08:45:00;1901686;2159129
24. Januar 2020 15:30;2047299;24.01.2020 15:30:00;2831055;2159188
17. März 2011 17:00;2048090;17.03.2011 17:00:00;1868089;2159448
17. März 2011 18:00;2048080;17.03.2011 18:00:00;1910063;2159489
10. Dezember 2020 07:00;2049471;10.12.2020 07:00:00;1808630;2159509
25. November 2019 09:15;2053631;25.11.2019 09:15:00;2984213;2159523
18. Februar 2020 19:15;2048821;18.02.2020 19:15:00;2532470;2159626
30. Januar 2010 18:15;2044919;30.01.2010 18:15:00;2027770;2159683
17. Dezember 2019 19:00;2045271;17.12.2019 19:00:00;3014285;2159707
2. März 2021 08:45;2051574;02.03.2021 08:45:00;2726740;2159770
2. November 2010 09:00;2055054;02.11.2010 09:00:00;1894539;2159823
25. November 2019 09:30;2057060;25.11.2019 09:30:00;2974943;2159916
18. März 2021 10:45;2055731;18.03.2021 10:45:00;2344201;2159933
29. Januar 2020 19:45;2045221;29.01.2020 19:45:00;2792053;2159951
24. November 2020 13:45;2045789;24.11.2020 13:45:00;2334991;2160103
30. März 2010 11:00;2046980;30.03.2010 11:00:00;1786987;2160108
22. März 2021 11:00;2054493;22.03.2021 11:00:00;2054393;2160167
7. November 2019 11:15;2062905;07.11.2019 11:15:00;2019942;2160407
6. Januar 2020 19:15;2048191;06.01.2020 19:15:00;2378110;2160506
24. November 2020 13:15;2050663;24.11.2020 13:15:00;2343409;2160607
22. November 2019 12:30;2049694;22.11.2019 12:30:00;1975277;2160732
21. März 2011 08:30;2045733;21.03.2011 08:30:00;1768918;2160775
